no,provinsi,kab,kecamatan,desa,nik,nama,penghasilan_bulan,jumlah_tanggung_jawab,umur,ibu_hamil,lanjut_usia,disabilitas,jumlah_motor,jumlah_mobil,bpnt,bst,pkh
1,JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,1.68412E+15,Karim Balme,1000000,8,48,TIDAK,TIDAK,TIDAK,2,0,YA,YA,YA
2,JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,1.64709E+15,Alejandrina Andrivot,3000000,9,28,TIDAK,TIDAK,YA,1,2,YA,YA,YA
3,JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,1.66709E+15,Corrina Luton,1000000,5,59,TIDAK,TIDAK,TIDAK,1,1,YA,YA,YA
4,JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,1.69008E+15,Kaitlin Howsam,1500000,5,32,YA,TIDAK,TIDAK,3,2,YA,YA,YA
5,JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,1.60006E+15,Wilburt Manoch,1500000,5,48,TIDAK,TIDAK,TIDAK,1,2,YA,YA,YA
6,JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,1.65112E+15,Gay McGillreich,1500000,1,35,TIDAK,TIDAK,TIDAK,5,2,YA,YA,YA
7,JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,1.61402E+15,Noach Luberto,500000,3,33,TIDAK,TIDAK,TIDAK,2,2,YA,YA,YA
8,JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,1.60601E+15,Andrei Feronet,1000000,2,30,TIDAK,TIDAK,TIDAK,1,1,YA,YA,YA
9,JAWA BARAT,CIREBON,ARJAWINANGUN,JUNJANG,1.66909E+15,Beverley Padginton,1500000,4,56,TIDAK,TIDAK,TIDAK,0,1,YA,YA,YA
10,JAWA BARAT,CIREBON,ARJAWINANGUN,JUNJANG,1.6671E+15,Faythe Hudel,1000000,1,73,TIDAK,YA,TIDAK,0,2,YA,YA,YA
11,JAWA BARAT,CIREBON,ARJAWINANGUN,JUNJANG,1.69507E+15,Aubine Lawty,1000000,1,40,TIDAK,TIDAK,YA,4,0,YA,YA,YA
