provinsi,kabkota,kecamatan,desa,nik,nama,penghasilan,jmltj,umur,ibuhamil,lansia,disable,jmlmtr,jmlmob,bpnt,bst,pkh,layak
JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,8.12398E+12,Karim Balme,1000000,8,48,TIDAK,TIDAK,TIDAK,2,0,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,8.12398E+12,Alejandrina Andrivot,3000000,9,28,TIDAK,TIDAK,YA,1,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,8.12398E+12,Corrina Luton,1000000,5,59,TIDAK,TIDAK,TIDAK,1,1,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,8.12398E+12,Kaitlin Howsam,1500000,5,32,YA,TIDAK,TIDAK,3,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,8.12398E+12,Wilburt Manoch,1500000,5,48,TIDAK,TIDAK,TIDAK,1,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,8.12398E+12,Gay McGillreich,1500000,1,35,TIDAK,TIDAK,TIDAK,5,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,8.12398E+12,Noach Luberto,500000,3,33,TIDAK,TIDAK,TIDAK,2,2,YA,YA,YA,YA
JAWA BARAT,CIREBON,ARJAWINANGUN,KEBONTURI,8.12398E+12,Andrei Feronet,1000000,2,30,TIDAK,TIDAK,TIDAK,1,1,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,ARJAWINANGUN,JUNJANG,8.12398E+12,Beverley Padginton,1500000,4,56,TIDAK,TIDAK,TIDAK,0,1,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,ARJAWINANGUN,JUNJANG,8.12398E+12,Faythe Hudel,1000000,1,73,TIDAK,YA,TIDAK,0,2,YA,YA,YA,TIDAK
JAWA BARAT,CIREBON,ARJAWINANGUN,JUNJANG,8.12398E+12,Aubine Lawty,1000000,1,40,TIDAK,TIDAK,YA,4,0,YA,YA,YA,YA
JAWA BARAT,CIREBON,ARJAWINANGUN,JUNJANG,8.12398E+12,Eunice Hogbin,500000,1,35,TIDAK,TIDAK,TIDAK,6,1,YA,YA,YA,YA
JAWA BARAT,CIREBON,ARJAWINANGUN,JUNJANG,8.12398E+12,Rebecka Bourchier,3500000,1,58,TIDAK,TIDAK,TIDAK,1,2,YA,YA,YA,YA
